Структурное подразделение;Должность (специальность, профессия), разряд, класс (категория) квалификации;Количество человек;Из них мужчин;Из них женщин до 40 лет;Из них женщин старше 40 лет.;№ пункта и приложения приказа №302н;Наименование пункта приказа №302н;Периодичность;Примечание
Центральный офис Административный отдел;Директор по бережливому производству ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Административный отдел;Координатор по коммуникациям и внедрению ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Административный отдел;Ассистент генерального директора;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Административный отдел;Генеральный директор ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;Один и тот же сотрудник (см.п.11)
Центральный офис Административный отдел;Директор по безопасности, охране труда и экологии;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Административный отдел;Координатор по реконструкции ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Административный отдел;Менеджер по безопасности, охране труда и экологии ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел закупок и качества поставок;Аудитор поставщиков ;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел закупок и качества поставок;Ведущий аудитор поставщиков ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел закупок и качества поставок;Директор по закупкам SBU России ;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
